slug;title;author;genre;year
garrick-the-country-girl;The country girl;Garrick, David;comedy;1766
garrick-the-irish-widow;The Irish widow;Garrick, David;nan;1772
garrick-the-lying-valet;The lying valet;Garrick, David;nan;1742
garrick-the-male-coquette;The male-coquette;Garrick, David;nan;1757
gentleman-oroonoko;Oroonoko;Gentleman, Francis;tragedy;1760
gentleman-sejanus;Sejanus;Gentleman, Francis;tragedy;1752
gentleman-the-stratford-jubilee;The Stratford jubilee;Gentleman, Francis;comedy;1769
gentleman-the-tobacconist;The tobacconist;Gentleman, Francis;comedy;1771
giffard-pamela;Pamela;Giffard, Henry;comedy;1741
glover-boadicia;Boadicia;Glover, Richard;tragedy;1753
glover-jason;Jason;Glover, Richard;tragedy;1799
glover-medea;Medea;Glover, Richard;tragedy;1761
goldsmith-she-stoops-to-conquer;She stoops to conquer;Goldsmith, Oliver;comedy;1773
goldsmith-the-good-naturd-man-2;The good natur'd man;Goldsmith, Oliver;comedy;1768
goldsmith-the-good-naturd-man;The good-natur'd man;Goldsmith, Oliver;comedy;1777
griffith-a-wife-in-the-right;A wife in the right;Griffith, Elizabeth;comedy;1772
griffith-amana;Amana;Griffith, Elizabeth;nan;1764
griffith-the-double-mistake;The double mistake;Griffith, Elizabeth;comedy;1766
griffith-the-platonic-wife;The platonic wife;Griffith, Elizabeth;comedy;1765
griffith-the-school-for-rakes;The school for rakes;Griffith, Elizabeth;comedy;1769
griffith-the-times;The times;Griffith, Elizabeth;comedy;1780
hartson-the-countess-of-salisbury;The Countess of Salisbury;Hartson, Hall;tragedy;1767
hawkins-cymberline;Cymberline;Hawkins, William;tragedy;1758
hawkins-henry-and-rosamond-2;Henry and Rosamond;Hawkins, William;tragedy;1758
hawkins-henry-and-rosamond;Henry and Rosamond;Hawkins, William;tragedy;1749
hawkins-the-siege-of-aleppo;The Siege of Aleppo;Hawkins, William;tragedy;1758
hayley-lord-russel;Lord Russel;Hayley, William;tragedy;1784
hayley-marcella;Marcella;Hayley, William;tragedy;1784
hayley-the-happy-presciption;The happy presciption;Hayley, William;comedy;1784
hayley-the-happy-prescription-or-the-lady-relieved-from-her-lovers;The happy prescription or, the lady relieved from her lovers;Hayley, William;comedy;1785
hayley-the-mausoleum;The mausoleum;Hayley, William;comedy;1784
hayley-the-two-connoisseurs;The two connoisseurs;Hayley, William;comedy;1785
hayley-the-two-conoisseurs;The two conoisseurs;Hayley, William;comedy;1784
hill-athelwold;Athelwold;Hill, Aaron;tragedy;1731
hill-the-fatal-extravagance;The fatal extravagance;Hill, Aaron;tragedy;1721
hill-the-insolvent;The insolvent;Hill, Aaron;tragedy;1758
hill-the-roman-revenge;The Roman revenge;Hill, Aaron;tragedy;1753
hill-the-walking-statue;The walking statue;Hill, Aaron;comedy;1709
hitchcock-the-coquette-or-the-mistakes-of-the-heart;The coquette or, the mistakes of the heart;Hitchcock, Robert;comedy;1777
hitchcock-the-macaroni;The macaroni;Hitchcock, Robert;comedy;1773
holcroft-duplicity;Duplicity;Holcroft, Thomas;comedy;1781
holcroft-hes-much-to-blame;He's much to blame;Holcroft, Thomas;comedy;1798
holcroft-knave-or-not;Knave, or not?;Holcroft, Thomas;comedy;1798
holcroft-loves-frailties;Love's frailties;Holcroft, Thomas;comedy;1794
holcroft-seduction;Seduction;Holcroft, Thomas;comedy;1787
holcroft-the-deserted-daughter;The deserted daughter;Holcroft, Thomas;comedy;1795
holcroft-the-man-of-ten-thousand;The man of ten thousand;Holcroft, Thomas;comedy;1796
holcroft-the-road-to-ruin;The road to ruin;Holcroft, Thomas;comedy;1792
holcroft-the-school-for-arrogance;The school for arrogance;Holcroft, Thomas;comedy;1791
holcroft-try-again;Try again;Holcroft, Thomas;farce;1790
holman-the-red-cross-knights;The Red-Cross Knights;Holman, Joseph George;nan;1799
holman-the-votary-of-wealth;The votary of wealth;Holman, Joseph George;comedy;1799
home-agis;Agis;Home, John;tragedy;1758
home-alfred;Alfred;Home, John;tragedy;1777
home-alonzo;Alonzo;Home, John;tragedy;1773
home-cleonice-princess-of-bithynia;Cleonice, Princess of Bithynia;Home, John;tragedy;1775
home-cyrus;Cyrus;Home, John;tragedy;1768
home-douglas;Douglas;Home, John;tragedy;1757
home-the-fatal-discovery;The fatal discovery;Home, John;tragedy;1769
home-the-siege-of-aquileia;The siege of Aquileia;Home, John;tragedy;1760
home-timanthes;Timanthes;Home, John;tragedy;1770
hull-henry-the-second;Henry the Second;Hull, Thomas;tragedy;1774
hull-the-perplexities;The perplexities;Hull, Thomas;comedy;1767
hutchinson-the-princess-of-zanfara;The Princess of Zanfara;Hutchinson, William;nan;1789
inchbald-animal-magnetism;Animal magnetism;Inchbald, Elizabeth;farce;1789
inchbald-appearance-is-against-them;Appearance is against them;Inchbald, Elizabeth;farce;1785
inchbald-every-one-has-his-fault;Every one has his fault;Inchbald, Elizabeth;comedy;1793
